Epoch:42 | loss:1.08 | acc:0.5911 | prec0:0.5638 | prec1:0.5909 | prec2:0.6308 | recall0:0.6709  | recall1:0.5909 | recall2:0.5125
Epoch:43 | loss:1.11 | acc:0.5956 | prec0:0.5510 | prec1:0.6000 | prec2:0.6613 | recall0:0.6835  | recall1:0.5909 | recall2:0.5125
Epoch:44 | loss:0.86 | acc:0.5867 | prec0:0.5949 | prec1:0.5467 | prec2:0.6197 | recall0:0.5949  | recall1:0.6212 | recall2:0.5500
Epoch:45 | loss:0.92 | acc:0.5822 | prec0:0.5455 | prec1:0.5968 | prec2:0.6250 | recall0:0.6835  | recall1:0.5606 | recall2:0.5000
Epoch:46 | loss:0.95 | acc:0.5422 | prec0:0.6034 | prec1:0.4516 | prec2:0.6081 | recall0:0.4430  | recall1:0.6364 | recall2:0.5625
Epoch:47 | loss:1.15 | acc:0.5867 | prec0:0.6053 | prec1:0.5250 | prec2:0.6377 | recall0:0.5823  | recall1:0.6364 | recall2:0.5500
Epoch:48 | loss:0.87 | acc:0.5689 | prec0:0.5846 | prec1:0.5055 | prec2:0.6377 | recall0:0.4810  | recall1:0.6970 | recall2:0.5500
Epoch:49 | loss:1.05 | acc:0.4844 | prec0:0.5429 | prec1:0.4059 | prec2:0.5506 | recall0:0.2405  | recall1:0.6212 | recall2:0.6125
0.5639886039886038
Epoch:0 | loss:0.99 | acc:0.5111 | prec0:0.4712 | prec1:0.4634 | prec2:0.5875 | recall0:0.6203  | recall1:0.2879 | recall2:0.5875
Epoch:1 | loss:1.06 | acc:0.4889 | prec0:0.5119 | prec1:0.3636 | prec2:0.5093 | recall0:0.5443  | recall1:0.1818 | recall2:0.6875
Epoch:2 | loss:0.89 | acc:0.5200 | prec0:0.5000 | prec1:0.4524 | prec2:0.5844 | recall0:0.6709  | recall1:0.2879 | recall2:0.5625
Epoch:3 | loss:0.99 | acc:0.5156 | prec0:0.5149 | prec1:0.4265 | prec2:0.6250 | recall0:0.6582  | recall1:0.4394 | recall2:0.4375
Epoch:4 | loss:0.85 | acc:0.5289 | prec0:0.5102 | prec1:0.4630 | prec2:0.6027 | recall0:0.6329  | recall1:0.3788 | recall2:0.5500
Epoch:5 | loss:0.92 | acc:0.4978 | prec0:0.5469 | prec1:0.3964 | prec2:0.6600 | recall0:0.4430  | recall1:0.6667 | recall2:0.4125
Epoch:6 | loss:1.16 | acc:0.4978 | prec0:0.5476 | prec1:0.4035 | prec2:0.6232 | recall0:0.2911  | recall1:0.6970 | recall2:0.5375
Epoch:7 | loss:1.00 | acc:0.5689 | prec0:0.5506 | prec1:0.5067 | prec2:0.6721 | recall0:0.6203  | recall1:0.5758 | recall2:0.5125
Epoch:8 | loss:1.02 | acc:0.5067 | prec0:0.5062 | prec1:0.4268 | prec2:0.6129 | recall0:0.5190  | recall1:0.5303 | recall2:0.4750
Epoch:9 | loss:0.99 | acc:0.5333 | prec0:0.4746 | prec1:0.5283 | prec2:0.6667 | recall0:0.7089  | recall1:0.4242 | recall2:0.4500
Epoch:10 | loss:1.21 | acc:0.5378 | prec0:0.5052 | prec1:0.4688 | prec2:0.6562 | recall0:0.6203  | recall1:0.4545 | recall2:0.5250
Epoch:11 | loss:1.34 | acc:0.5600 | prec0:0.5238 | prec1:0.5254 | prec2:0.6557 | recall0:0.6962  | recall1:0.4697 | recall2:0.5000
Epoch:12 | loss:1.16 | acc:0.5244 | prec0:0.5111 | prec1:0.4384 | prec2:0.6452 | recall0:0.5823  | recall1:0.4848 | recall2:0.5000
Epoch:13 | loss:1.07 | acc:0.5333 | prec0:0.5213 | prec1:0.4595 | prec2:0.6491 | recall0:0.6203  | recall1:0.5152 | recall2:0.4625
