Epoch:24 | loss:1.09 | acc:0.4089 | prec0:0.3776 | prec1:0.4268 | prec2:0.4444 | recall0:0.5211  | recall1:0.4375 | recall2:0.2703
Epoch:25 | loss:1.14 | acc:0.4000 | prec0:0.3571 | prec1:0.4423 | prec2:0.4267 | recall0:0.4930  | recall1:0.2875 | recall2:0.4324
Epoch:26 | loss:1.02 | acc:0.3600 | prec0:0.3333 | prec1:0.5152 | prec2:nan | recall0:0.9014  | recall1:0.2125 | recall2:0.0000
Epoch:27 | loss:1.00 | acc:0.3822 | prec0:0.3554 | prec1:0.4655 | prec2:0.0000 | recall0:0.8310  | recall1:0.3375 | recall2:0.0000
Epoch:28 | loss:1.24 | acc:0.3956 | prec0:0.3677 | prec1:0.4769 | prec2:0.2000 | recall0:0.8028  | recall1:0.3875 | recall2:0.0135
Epoch:29 | loss:1.09 | acc:0.3689 | prec0:0.3446 | prec1:0.4884 | prec2:0.2000 | recall0:0.8592  | recall1:0.2625 | recall2:0.0135
Epoch:30 | loss:1.07 | acc:0.4133 | prec0:0.3673 | prec1:0.5072 | prec2:0.4444 | recall0:0.7606  | recall1:0.4375 | recall2:0.0541
Epoch:31 | loss:1.06 | acc:0.4711 | prec0:0.5000 | prec1:0.5000 | prec2:0.4058 | recall0:0.5352  | recall1:0.5000 | recall2:0.3784
Epoch:32 | loss:1.16 | acc:0.3911 | prec0:0.3512 | prec1:0.5652 | prec2:0.2727 | recall0:0.8310  | recall1:0.3250 | recall2:0.0405
Epoch:33 | loss:1.04 | acc:0.4356 | prec0:0.4353 | prec1:0.4474 | prec2:0.4219 | recall0:0.5211  | recall1:0.4250 | recall2:0.3649
Epoch:34 | loss:1.02 | acc:0.4222 | prec0:0.3750 | prec1:0.5410 | prec2:0.4000 | recall0:0.7606  | recall1:0.4125 | recall2:0.1081
Epoch:35 | loss:1.12 | acc:0.4756 | prec0:0.4878 | prec1:0.4937 | prec2:0.4375 | recall0:0.5634  | recall1:0.4875 | recall2:0.3784
Epoch:36 | loss:1.16 | acc:0.4444 | prec0:0.4545 | prec1:0.4476 | prec2:0.4062 | recall0:0.5634  | recall1:0.5875 | recall2:0.1757
Epoch:37 | loss:1.07 | acc:0.4711 | prec0:0.4455 | prec1:0.4943 | prec2:0.4865 | recall0:0.6338  | recall1:0.5375 | recall2:0.2432
Epoch:38 | loss:1.32 | acc:0.4622 | prec0:0.4314 | prec1:0.5211 | prec2:0.4423 | recall0:0.6197  | recall1:0.4625 | recall2:0.3108
Epoch:39 | loss:1.03 | acc:0.4622 | prec0:0.4369 | prec1:0.5800 | prec2:0.4167 | recall0:0.6338  | recall1:0.3625 | recall2:0.4054
Epoch:40 | loss:1.25 | acc:0.4089 | prec0:0.5294 | prec1:0.4045 | prec2:0.3667 | recall0:0.1268  | recall1:0.9000 | recall2:0.1486
Epoch:41 | loss:1.04 | acc:0.4044 | prec0:0.4138 | prec1:0.4839 | prec2:0.3738 | recall0:0.5070  | recall1:0.1875 | recall2:0.5405
Epoch:42 | loss:1.18 | acc:0.4400 | prec0:0.4286 | prec1:0.4912 | prec2:0.4143 | recall0:0.5915  | recall1:0.3500 | recall2:0.3919
Epoch:43 | loss:1.11 | acc:0.4533 | prec0:0.5143 | prec1:0.5063 | prec2:0.3421 | recall0:0.5070  | recall1:0.5000 | recall2:0.3514
